YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2024,1,1,1,1/1/2024 0:00,AA,19805,1674,ORD,"Chicago, IL",IL,Illinois,DFW,"Dallas/Fort Worth, TX",Texas,1516,1514,-2,0,0,1731,-14,0,0,137,106,1,802,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1761,ORD,"Chicago, IL",IL,Illinois,EGE,"Eagle, CO",Colorado,0959,0951,-8,0,0,1222,28,28,1,211,136,1,1007,0,0,28,0,0
2024,1,1,1,1/1/2024 0:00,AA,19805,1762,ORD,"Chicago, IL",IL,Illinois,BOS,"Boston, MA",Massachusetts,1320,1353,33,33,1,1711,42,42,1,138,117,1,867,23,0,9,0,10
2024,1,1,1,1/1/2024 0:00,AA,19805,1763,ORD,"Chicago, IL",IL,Illinois,SAT,"San Antonio, TX",Texas,1005,1020,15,15,1,1257,-7,0,0,157,142,1,1041,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1784,ORD,"Chicago, IL",IL,Illinois,CLT,"Charlotte, NC",North Carolina,0700,0656,-4,0,0,0939,-17,0,0,103,88,1,599,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1831,ORD,"Chicago, IL",IL,Illinois,PBI,"West Palm Beach/Palm Beach, FL",Florida,0835,0837,2,2,0,1224,-12,0,0,167,142,1,1144,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1862,ORD,"Chicago, IL",IL,Illinois,LAS,"Las Vegas, NV",Nevada,1045,1043,-2,0,0,1223,-27,0,0,220,194,1,1514,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1915,ORD,"Chicago, IL",IL,Illinois,JAC,"Jackson, WY",Wyoming,0955,0950,-5,0,0,1149,-22,0,0,179,160,1,1162,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1929,ORD,"Chicago, IL",IL,Illinois,RSW,"Fort Myers, FL",Florida,0845,0842,-3,0,0,1219,-18,0,0,157,141,1,1120,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1941,ORD,"Chicago, IL",IL,Illinois,PHL,"Philadelphia, PA",Pennsylvania,1710,1706,-4,0,0,2000,-1,0,0,114,97,1,678,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1966,ORD,"Chicago, IL",IL,Illinois,LAS,"Las Vegas, NV",Nevada,0905,0901,-4,0,0,1033,-40,0,0,212,190,1,1514,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1979,ORD,"Chicago, IL",IL,Illinois,LAX,"Los Angeles, CA",California,0955,0950,-5,0,0,1157,-34,0,0,247,222,1,1744,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1993,ORD,"Chicago, IL",IL,Illinois,MSY,"New Orleans, LA",Louisiana,1340,1408,28,28,1,1611,8,8,0,123,105,1,837,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2012,ORD,"Chicago, IL",IL,Illinois,LAX,"Los Angeles, CA",California,0835,0832,-3,0,0,1030,-34,0,0,238,223,1,1744,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2030,ORD,"Chicago, IL",IL,Illinois,BOS,"Boston, MA",Massachusetts,1524,1516,-8,0,0,1914,40,40,1,178,118,1,867,0,0,40,0,0
2024,1,1,1,1/1/2024 0:00,AA,19805,2069,ORD,"Chicago, IL",IL,Illinois,SLC,"Salt Lake City, UT",Utah,1005,1008,3,3,0,1211,-29,0,0,183,164,1,1250,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2079,ORD,"Chicago, IL",IL,Illinois,LGA,"New York, NY",New York,0825,0825,0,0,0,1133,2,2,0,128,101,1,733,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2080,ORD,"Chicago, IL",IL,Illinois,CLT,"Charlotte, NC",North Carolina,1029,1030,1,1,0,1318,-6,0,0,108,85,1,599,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2084,ORD,"Chicago, IL",IL,Illinois,LGA,"New York, NY",New York,0725,0724,-1,0,0,1025,-7,0,0,121,102,1,733,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2093,ORD,"Chicago, IL",IL,Illinois,RSW,"Fort Myers, FL",Florida,1010,1005,-5,0,0,1349,-11,0,0,164,141,1,1120,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2097,ORD,"Chicago, IL",IL,Illinois,PHX,"Phoenix, AZ",Arizona,1855,1919,24,24,1,2222,25,25,1,243,222,1,1440,7,0,1,0,17
2024,1,1,1,1/1/2024 0:00,AA,19805,2098,ORD,"Chicago, IL",IL,Illinois,PHL,"Philadelphia, PA",Pennsylvania,1000,0957,-3,0,0,1253,-4,0,0,116,96,1,678,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2126,ORD,"Chicago, IL",IL,Illinois,MCI,"Kansas City, MO",Missouri,2056,2052,-4,0,0,2209,-21,0,0,77,60,1,403,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2130,ORD,"Chicago, IL",IL,Illinois,CLT,"Charlotte, NC",North Carolina,0820,0814,-6,0,0,1120,1,1,0,126,83,1,599,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2131,ORD,"Chicago, IL",IL,Illinois,SAN,"San Diego, CA",California,1005,1000,-5,0,0,1158,-34,0,0,238,221,1,1723,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2137,ORD,"Chicago, IL",IL,Illinois,DFW,"Dallas/Fort Worth, TX",Texas,0626,0627,1,1,0,0902,3,3,0,155,130,1,802,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2167,ORD,"Chicago, IL",IL,Illinois,MIA,"Miami, FL",Florida,1006,1002,-4,0,0,1400,-16,0,0,178,160,1,1197,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2177,ORD,"Chicago, IL",IL,Illinois,MIA,"Miami, FL",Florida,0820,0814,-6,0,0,1208,-23,0,0,174,153,1,1197,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2281,ORD,"Chicago, IL",IL,Illinois,DFW,"Dallas/Fort Worth, TX",Texas,2026,2047,21,21,1,2259,-10,0,0,132,110,1,802,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2299,ORD,"Chicago, IL",IL,Illinois,SMF,"Sacramento, CA",California,2058,2134,36,36,1,2348,6,6,0,254,231,1,1781,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2323,ORD,"Chicago, IL",IL,Illinois,MIA,"Miami, FL",Florida,1730,1856,86,86,1,2255,79,79,1,179,147,1,1197,79,0,0,0,0
2024,1,1,1,1/1/2024 0:00,AA,19805,2363,ORD,"Chicago, IL",IL,Illinois,DEN,"Denver, CO",Colorado,1112,1109,-3,0,0,1243,-14,0,0,154,134,1,888,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2364,ORD,"Chicago, IL",IL,Illinois,LAX,"Los Angeles, CA",California,1710,1704,-6,0,0,1922,-20,0,0,258,217,1,1744,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2398,ORD,"Chicago, IL",IL,Illinois,SEA,"Seattle, WA",Washington,1010,1028,18,18,1,1239,-11,0,0,251,230,1,1721,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2418,ORD,"Chicago, IL",IL,Illinois,SFO,"San Francisco, CA",California,0955,0953,-2,0,0,1205,-41,0,0,252,229,1,1846,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2447,ORD,"Chicago, IL",IL,Illinois,LAS,"Las Vegas, NV",Nevada,1525,1515,-10,0,0,1728,3,3,0,253,201,1,1514,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2462,ORD,"Chicago, IL",IL,Illinois,SNA,"Santa Ana, CA",California,1000,1001,1,1,0,1230,-5,0,0,269,226,1,1726,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2499,ORD,"Chicago, IL",IL,Illinois,DFW,"Dallas/Fort Worth, TX",Texas,1700,1658,-2,0,0,1925,-12,0,0,147,113,1,802,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2537,ORD,"Chicago, IL",IL,Illinois,TUS,"Tucson, AZ",Arizona,1010,1004,-6,0,0,1240,-23,0,0,216,195,1,1437,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2567,ORD,"Chicago, IL",IL,Illinois,RSW,"Fort Myers, FL",Florida,1155,1152,-3,0,0,1524,-20,0,0,152,141,1,1120,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2569,ORD,"Chicago, IL",IL,Illinois,DFW,"Dallas/Fort Worth, TX",Texas,0826,0822,-4,0,0,1040,-24,0,0,138,110,1,802,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2571,ORD,"Chicago, IL",IL,Illinois,MCI,"Kansas City, MO",Missouri,1528,1519,-9,0,0,1633,-27,0,0,74,57,1,403,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2576,ORD,"Chicago, IL",IL,Illinois,BWI,"Baltimore, MD",Maryland,1845,1842,-3,0,0,2145,4,4,0,123,92,1,622,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2595,ORD,"Chicago, IL",IL,Illinois,DCA,"Washington, DC",Virginia,0831,0831,0,0,0,1117,-5,0,0,106,88,1,612,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2629,ORD,"Chicago, IL",IL,Illinois,LGA,"New York, NY",New York,1300,1258,-2,0,0,1556,-6,0,0,118,102,1,733,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2633,ORD,"Chicago, IL",IL,Illinois,DCA,"Washington, DC",Virginia,1830,1930,60,60,1,2223,63,63,1,113,95,1,612,0,0,3,0,60
2024,1,1,1,1/1/2024 0:00,AA,19805,2654,ORD,"Chicago, IL",IL,Illinois,LAS,"Las Vegas, NV",Nevada,2042,2038,-4,0,0,2218,-31,0,0,220,198,1,1514,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2689,ORD,"Chicago, IL",IL,Illinois,BDL,"Hartford, CT",Connecticut,1826,1823,-3,0,0,2134,2,2,0,131,107,1,783,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2715,ORD,"Chicago, IL",IL,Illinois,MIA,"Miami, FL",Florida,1321,1317,-4,0,0,1754,26,26,1,217,156,1,1197,0,0,26,0,0
2024,1,1,1,1/1/2024 0:00,AA,19805,2741,ORD,"Chicago, IL",IL,Illinois,LAX,"Los Angeles, CA",California,2030,2027,-3,0,0,2227,-43,0,0,240,219,1,1744,,,,,
